layer,model,task,group,data_pct,chunk_bits,cumulative_bits,bits_per_sample,accuracy,eval_split
8,base,correctness_base,all,0.35,15375.6708984375,116263.51336669922,13.21326438989649,0.33253777027130127,
8,base,correctness_base,all,0.39999999999999997,13875.6982421875,130139.21160888672,12.941449046229785,0.6324582099914551,
8,base,correctness_base,all,0.44999999999999996,23771.380859375,153910.59246826172,13.604754925153514,0.6658711433410645,
8,base,correctness_base,all,0.49999999999999994,14590.19140625,168500.78387451172,13.404994739420184,0.6714399456977844,
8,base,correctness_base,all,0.5499999999999999,26818.013671875,195318.79754638672,14.12589842672935,0.6658711433410645,
8,base,correctness_base,all,0.5999999999999999,18773.048828125,214091.84637451172,14.193307237769273,0.31583133339881897,
8,base,correctness_base,all,0.6499999999999999,1515.5399169921875,215607.3862915039,13.194258998317355,0.6515513062477112,
8,base,correctness_base,all,0.7,24224.0625,239831.4487915039,13.628335537646546,0.6404137015342712,
8,base,correctness_base,all,0.7499999999999998,23153.921875,262985.3706665039,13.947778873853297,0.34287986159324646,
8,base,correctness_base,all,0.7999999999999998,4503.13818359375,267488.50885009766,13.299945746325461,0.6634844541549683,
8,base,correctness_base,all,0.8499999999999999,18971.359375,286459.86822509766,13.405394179657337,0.6793953776359558,
8,base,correctness_base,all,0.8999999999999999,28723.447265625,315183.31549072266,13.930138579100268,0.6603022813796997,
8,base,correctness_base,all,0.9499999999999997,7795.6484375,322978.96392822266,13.523383324047341,0.3245823383331299,
8,base,correctness_base,all,0.9999999999999998,11742.037109375,334721.00103759766,13.314280073094576,0.6706444025039673,
8,base,correctness_base,all,test,166636.0625,334721.00103759766,19.88259903352822,0.6663882732391357,test
8,base_control,correctness_base,all,0.02,375.7151794433594,375.7151794433594,0.7484366124369709,0.34860557317733765,
8,base_control,correctness_base,all,0.04,2776.871826171875,3152.5870056152344,3.136902493149487,0.33001986145973206,
8,base_control,correctness_base,all,0.06,3808.66650390625,6961.253509521484,4.616215855120347,0.6461232304573059,
8,base_control,correctness_base,all,0.08,8040.18798828125,15001.441497802734,7.459692440478734,0.6759443283081055,
8,base_control,correctness_base,all,0.1,5683.04833984375,20684.489837646484,8.22772069914339,0.6540755033493042,
8,base_control,correctness_base,all,0.12000000000000001,12230.76171875,32915.251556396484,10.913544945754802,0.6513944268226624,
8,base_control,correctness_base,all,0.13999999999999999,5888.3798828125,38803.631439208984,11.026891571244382,0.2982107102870941,
8,base_control,correctness_base,all,0.16,4687.14501953125,43490.776458740234,10.81322139700155,0.697813093662262,
8,base_control,correctness_base,all,0.18,12143.00390625,55633.780364990234,12.294758091710548,0.6779323816299438,
8,base_control,correctness_base,all,0.2,1887.55078125,57521.331146240234,11.44020110307085,0.3320079445838928,
8,base_control,correctness_base,all,0.25,14467.2470703125,71988.57821655273,11.454029946945543,0.661893367767334,
8,base_control,correctness_base,all,0.3,35638.68359375,107627.26181030273,14.2703874052377,0.6515513062477112,
8,base_control,correctness_base,all,0.35,10921.1611328125,118548.42294311523,13.47294271429881,0.3540174961090088,
8,base_control,correctness_base,all,0.39999999999999997,13999.8330078125,132548.25595092773,13.181011928294325,0.650755763053894,
8,base_control,correctness_base,all,0.44999999999999996,32503.90234375,165052.15829467773,14.589601192846967,0.6412092447280884,
8,base_control,correctness_base,all,0.49999999999999994,14393.1748046875,179445.33309936523,14.275682824134067,0.3190135061740875,
8,base_control,correctness_base,all,0.5499999999999999,6330.64404296875,185775.97714233398,13.435740011740362,0.6778042912483215,
8,base_control,correctness_base,all,0.5999999999999999,27047.171875,212823.14901733398,14.10919842331835,0.6547334790229797,
8,base_control,correctness_base,all,0.6499999999999999,27058.125,239881.27401733398,14.679718133366011,0.3357199728488922,
8,base_control,correctness_base,all,0.7,1251.6998291015625,241132.97384643555,13.702294229255344,0.35083532333374023,
8,base_control,correctness_base,all,0.7499999999999998,19197.171875,260330.14572143555,13.80695548774519,0.35958629846572876,
8,base_control,correctness_base,all,0.7999999999999998,5574.4482421875,265904.59396362305,13.22119102842199,0.35322195291519165,
8,base_control,correctness_base,all,0.8499999999999999,12272.357421875,278176.95138549805,13.017780494431094,0.6674622297286987,
8,base_control,correctness_base,all,0.8999999999999999,24839.150390625,303016.10177612305,13.392384945466413,0.6889418959617615,
8,base_control,correctness_base,all,0.9499999999999997,17127.10546875,320143.20724487305,13.404647960678016,0.3349244296550751,
8,base_control,correctness_base,all,0.9999999999999998,7773.28271484375,327916.4899597168,13.043615352415147,0.6579156517982483,
8,base_control,correctness_base,all,test,160143.015625,327916.4899597168,19.107864887841547,0.6663882732391357,test
8,base,multitask_dual,all,0.02,3338.2861328125,3338.2861328125,6.649972376120518,0.06972111761569977,
8,base,multitask_dual,all,0.04,10500.177734375,13838.4638671875,13.769615788246268,0.07554671727120876,
8,base,multitask_dual,all,0.06,12138.027099609375,25976.490966796875,17.22578976578042,0.06858846731483936,
8,base,multitask_dual,all,0.08,11274.918212890625,37251.4091796875,18.523823560262308,0.08250496350228786,
8,base,multitask_dual,all,0.1,8490.192993164062,45741.60217285156,18.19475026764183,0.09542743116617203,
8,base,multitask_dual,all,0.12000000000000001,12874.689208984375,58616.29138183594,19.43510987461404,0.09760956466197968,
8,base,multitask_dual,all,0.13999999999999999,12467.005126953125,71083.29650878906,20.19985692207703,0.05367792956531048,
8,base,multitask_dual,all,0.16,12993.013427734375,84076.30993652344,20.90410490714158,0.10536778718233109,
8,base,multitask_dual,all,0.18,12951.84130859375,97028.15124511719,21.442685358036947,0.14314114302396774,
8,base,multitask_dual,all,0.2,9082.094482421875,106110.24572753906,21.10386748757738,0.15506958216428757,
8,base,multitask_dual,all,0.25,15447.552734375,121557.79846191406,19.340938498315683,0.16348448768258095,
8,base,multitask_dual,all,0.3,22964.712890625,144522.51135253906,19.16235897010595,0.1666666641831398,
8,base,multitask_dual,all,0.35,23748.86181640625,168271.3731689453,19.12392012375785,0.1706443913280964,
8,base,multitask_dual,all,0.39999999999999997,24336.08251953125,192607.45568847656,19.153486046984543,0.14160699769854546,
8,base,multitask_dual,all,0.44999999999999996,19539.2353515625,212146.69104003906,18.752469817028114,0.22752585634589195,
8,base,multitask_dual,all,0.49999999999999994,22389.36083984375,234536.0518798828,18.658397126482324,0.12291169539093971,
8,base,multitask_dual,all,0.5499999999999999,18263.5205078125,252799.5723876953,18.283038431163327,0.20723945274949074,
8,base,multitask_dual,all,0.5999999999999999,15129.8896484375,267929.4620361328,17.76249416839915,0.21042163856327534,
8,base,multitask_dual,all,0.6499999999999999,17633.21728515625,285562.67932128906,17.475226688776026,0.19530627876520157,
8,base,multitask_dual,all,0.7,14585.68310546875,300148.3624267578,17.055822390428332,0.19371519796550274,
8,base,multitask_dual,all,0.7499999999999998,19377.07568359375,319525.43811035156,16.9464565425803,0.2116149477660656,
8,base,multitask_dual,all,0.7999999999999998,16361.61328125,335887.05139160156,16.700827933154414,0.18257756158709526,
8,base,multitask_dual,all,0.8499999999999999,17259.79931640625,353146.8507080078,16.52612900500762,0.23150357231497765,
8,base,multitask_dual,all,0.8999999999999999,14628.5283203125,367775.3790283203,16.25454693840362,0.1499602198600769,
