layer,model,task,total_mdl,data_cost,model_cost,fisher_info,sparsity,accuracy,bits_ci_lower,bits_ci_upper,acc_ci_lower,acc_ci_upper
8,instruct,multitask_dual,5197662.212524414,95485.65002441406,5102176.5625,1.3519156809899918e-06,1.0,0.09724376566042238,10.705387891509265,11.738988121350607,0.051317311223182414,0.08089862982225086
8,instruct_control,multitask_dual,5193627.615234375,85433.083984375,5108194.53125,1.3709138102502294e-08,1.0,0.16322634530485622,10.161821018493153,10.220425529749095,0.12168250723431508,0.13259684244791667
8,instruct,multitask_triple_instruct,5198579.968017578,96223.32739257812,5102356.640625,1.128702201727252e-06,1.0,0.09724376566042238,10.748827082602016,11.840485114521451,0.18955891927083338,0.3195447533011988
8,instruct_control,multitask_triple_instruct,5194416.188842773,86111.50134277344,5108304.6875,3.089689355288231e-08,1.0,0.16322634530485622,10.242913373157181,10.301772125562032,0.29507755771003386,0.3054978412748487
16,base,attribute,202440.77487182617,16699.173309326172,185741.6015625,4.3933744686697196e-07,0.9986979365348816,0.35186731893568785,1.9506331284840903,2.1049640490474735,0.28302029801739587,0.3663248697916666
16,base_control,attribute,182779.8483581543,20857.961151123047,161921.88720703125,2.1957518470117066e-08,1.0,0.16322634530485622,2.471699784714499,2.4934946921136643,0.15755208333333334,0.17415434908535746
16,base,state,559908.2592468262,21992.878387451172,537915.380859375,1.848047187502644e-08,0.9726743698120117,,2.138221876597419,2.9398106892903644,0.6478841145833334,0.7421007777253786
16,base_control,state,461881.591796875,64563.671875,397317.919921875,8.426722430954214e-09,1.0,,7.680466349856563,7.7308498195239475,0.08211835540003247,0.09475584162606134
16,base,correctness_base,20219.762170791626,667.046106338501,19552.716064453125,1.0909976329761169e-07,1.0,,0.06450582652203278,0.0957255275120662,0.4829394645161099,0.8378900183571709
16,base_control,correctness_base,20186.917671203613,667.0568313598633,19519.86083984375,8.218060543185857e-08,1.0,,0.07868194671031274,0.08007304308315119,0.6606960720486111,0.6771417299906413
16,base,multitask_dual,5253961.4794921875,96025.5419921875,5157935.9375,1.3262360521539205e-06,1.0,0.09724376566042238,10.674404894345512,11.832607475916545,0.051313557993206714,0.1525047878941728
16,base_control,multitask_dual,5192052.331787109,85439.05053710938,5106613.28125,1.4828198883051361e-08,1.0,0.16322634530485622,10.163224232021603,10.221278360897763,0.12168250723431508,0.13259684244791667
16,base,multitask_triple_base,5254932.418457031,96531.63720703125,5158400.78125,1.1782390242724243e-06,1.0,0.09724376566042238,10.74030629824639,11.917243154843648,0.2121873535008894,0.3561256618825374
16,base_control,multitask_triple_base,5193008.197753906,86115.22900390625,5106892.96875,5.257323609477973e-08,1.0,0.16322634530485622,10.242950364395425,10.301986729657209,0.3021918402777778,0.3131988101121452
16,instruct,attribute,201597.87142944336,15912.42221069336,185685.44921875,3.824565324439533e-07,0.9986572265625,0.3978045579286481,1.8563056740495893,1.9862029604092548,0.3575253424545129,0.4135199652777778
16,instruct_control,attribute,182802.3883972168,20857.661834716797,161944.7265625,1.9785015107724273e-08,1.0,0.16322634530485622,2.4716982100691114,2.4934920966625214,0.15755208333333334,0.17415434908535746
16,instruct,state,560069.3320922852,22051.900451660156,538017.431640625,1.7764787770454166e-08,0.9724392294883728,,2.1473011581986037,2.953280069430669,0.6487479072478083,0.7383304609192742
16,instruct_control,state,462044.0603027344,64564.031005859375,397480.029296875,8.620442433956063e-09,1.0,,7.680501309231686,7.730934331404469,0.08211835540003247,0.09475584162606134
16,instruct,correctness_instruct,20232.10313987732,680.3453273773193,19551.7578125,8.143371132973698e-08,1.0,,0.06866627001159248,0.09471884446940233,0.45907163619995117,0.8205054799715678
16,instruct_control,correctness_instruct,20199.931651115417,680.50110912323,19519.430541992188,8.030567263025053e-08,1.0,,0.08052628496513953,0.08176632522649709,0.6387787886791759,0.6565129096309344
16,instruct,multitask_dual,5253395.730102539,96772.29260253906,5156623.4375,1.4474626713730946e-06,1.0,0.09724376566042238,10.731070436077353,11.95186448627048,0.051313557993206714,0.1525047878941728
16,instruct_control,multitask_dual,5193170.718261719,85427.74951171875,5107742.96875,1.3399465093044682e-08,1.0,0.16322634530485622,10.161691588250978,10.219614020983379,0.12168250723431508,0.13259684244791667
16,instruct,multitask_triple_instruct,5252881.794677734,96969.29467773438,5155912.5,1.204392834007627e-06,1.0,0.09724376566042238,10.760525053813133,11.94186819659339,0.18955891927083338,0.3195447533011988
16,instruct_control,multitask_triple_instruct,5193497.806640625,86137.259765625,5107360.546875,3.5035217412400975e-08,1.0,0.16322634530485622,10.244105850339707,10.306146776080482,0.29507755771003386,0.3054978412748487
24,base,attribute,205603.20526123047,20761.49383544922,184841.71142578125,5.446817137322313e-07,0.9995524287223816,0.19245913375492185,2.4073884366436054,2.5109735627969108,0.16008330699470308,0.2096516927083333
24,base_control,attribute,182255.42727661133,20857.697784423828,161397.7294921875,2.1027588559263677e-08,1.0,0.16322634530485622,2.4716800389151095,2.4934737814797296,0.15755208333333334,0.17415434908535746
24,base,state,534289.5556640625,23670.9521484375,510618.603515625,4.360377927244604e-08,0.9842845797538757,,2.1236482649445882,3.2284639279047647,0.6181450737847223,0.7504931408498022
24,base_control,state,456651.8562011719,64562.110107421875,392089.74609375,9.173475016647595e-09,1.0,,7.680312529008295,7.730777948831965,0.08211835540003247,0.09475584162606134
24,base,correctness_base,20218.035570144653,667.0376453399658,19550.997924804688,6.98733562861283e-08,1.0,,0.06458360991544194,0.09564023180692284,0.4829394645161099,0.8378900183571709
24,base_control,correctness_base,20186.790070533752,667.0574045181274,19519.732666015625,9.358677743875887e-08,1.0,,0.07868214198035012,0.08007304380751318,0.6606960720486111,0.6771417299906413
24,base,multitask_dual,5152340.678222656,96510.20947265625,5055830.46875,1.5648698376478722e-06,1.0,0.09724376566042238,10.96665109841001,11.875037265342518,0.05403178630189763,0.08322581654000613
24,base_control,multitask_dual,5172918.213134766,85406.10375976562,5087512.109375,1.4402497349503512e-08,1.0,0.16322634530485622,10.158532680279363,10.217641462346233,0.12168250723431508,0.13259684244791667
24,base,multitask_triple_base,5152513.296142578,97271.49926757812,5055241.796875,1.1885237768775407e-06,1.0,0.09724376566042238,11.071132497966884,11.956851447953118,0.20783323709749524,0.32310702342678
24,base_control,multitask_triple_base,5173283.2275390625,86071.8994140625,5087211.328125,5.2191899370236506e-08,1.0,0.16322634530485622,10.238599460115159,10.296411947948943,0.3021918402777778,0.3131988101121452
24,instruct,attribute,205703.00772094727,20823.759674072266,184879.248046875,5.939847936472139e-07,0.9994710683822632,0.21381696694905142,2.4333131658337104,2.5238130250515343,0.17402520212862227,0.24042680234544805
24,instruct_control,attribute,182240.3363647461,20858.060974121094,161382.275390625,2.4300144711257115e-08,1.0,0.16322634530485622,2.4717052409888574,2.493518512778812,0.15755208333333334,0.17415434908535746
24,instruct,state,533474.3794250488,23631.898956298828,509842.48046875,4.146168160653237e-08,0.9841217994689941,,2.090372501510792,3.2604142460558148,0.631442599826389,0.7546908961402045
24,instruct_control,state,456921.96337890625,64562.29541015625,392359.66796875,8.28091254826783e-09,1.0,,7.6803696353108935,7.73083254595072,0.08211835540003247,0.09475584162606134
24,instruct,correctness_instruct,20235.47455883026,680.3659162521362,19555.108642578125,1.12660454002859e-07,1.0,,0.06873015641633953,0.09465481294017901,0.45907163619995117,0.8205054799715678
24,instruct_control,correctness_instruct,20201.662879943848,680.5355606079102,19521.127319335938,8.773319374692316e-08,1.0,,0.08053394137930425,0.08176740817320496,0.6387787886791759,0.6565129096309344
24,instruct,multitask_dual,5150541.747558594,95931.98193359375,5054609.765625,1.362889794417502e-06,1.0,0.09724376566042238,10.954378114638086,11.7893799967236,0.05403178630189763,0.08322581654000613
24,instruct_control,multitask_dual,5173693.000854492,85396.12585449219,5088296.875,1.3154998499250884e-08,1.0,0.16322634530485622,10.159035591403574,10.215569362410513,0.12168250723431508,0.13259684244791667
24,instruct,multitask_triple_instruct,5151885.795654297,96973.29565429688,5054912.5,1.1561043721365472e-06,1.0,0.09724376566042238,11.054990754430257,11.910888814926148,0.19393807870370375,0.32181412721121755
24,instruct_control,multitask_triple_instruct,5174147.920166016,86094.40454101562,5088053.515625,3.7764214055263025e-08,1.0,0.16322634530485622,10.240923684334348,10.299635801267652,0.29507755771003386,0.3054978412748487
28,base,attribute,206054.8680419922,20926.718627929688,185128.1494140625,6.163593812373117e-07,0.9995524287223816,0.18923756115022075,2.4253081501441307,2.533882674243715,0.16720679013265505,0.2056001640856266
28,base_control,attribute,182228.33657836914,20857.51138305664,161370.8251953125,2.4536980447464884e-08,1.0,0.16322634530485622,2.471678308782544,2.493449451526006,0.15755208333333334,0.17415434908535746
28,base,state,542176.296875,25911.55078125,516264.74609375,5.018534193768076e-08,0.9852792024612427,,2.1189143248633875,3.5641346865230137,0.5803955078125,0.7534208806024657
28,base_control,state,456138.8154296875,64563.3271484375,391575.48828125,9.568785467687727e-09,1.0,,7.680453017646603,7.73092050077213,0.08211835540003247,0.09475584162606134
28,base,correctness_base,20221.896830558777,667.0323286056519,19554.864501953125,9.662620451914942e-08,1.0,,0.06466257936539657,0.09555445323976908,0.4829394645161099,0.8378900183571709
28,base_control,correctness_base,20186.268522262573,667.0485515594482,19519.219970703125,8.150414032570552e-08,1.0,,0.07867739627828745,0.08007393878781133,0.6606960720486111,0.6771417299906413
28,base,multitask_dual,5155358.426269531,97101.39501953125,5058257.03125,1.534919664512659e-06,1.0,0.09724376566042238,10.921802890994561,11.97888548958659,0.05403178630189763,0.08322581654000613
28,base_control,multitask_dual,5174159.6337890625,85406.5087890625,5088753.125,1.361113737988592e-08,1.0,0.16322634530485622,10.159311449843111,10.21696634078152,0.12168250723431508,0.13259684244791667
28,base,multitask_triple_base,5155788.957275391,97369.42602539062,5058419.53125,1.259551655369901e-06,1.0,0.09724376566042238,10.9836095859134,12.007721883531602,0.20783323709749524,0.32310702342678
28,base_control,multitask_triple_base,5174965.330078125,86066.892578125,5088898.4375,2.6192419443226022e-08,1.0,0.16322634530485622,10.238500343344619,10.295612534812307,0.3021918402777778,0.3131988101121452
28,instruct,attribute,206144.36895751953,21016.81768798828,185127.55126953125,6.156850872833056e-07,0.99951171875,0.20116931153800263,2.4192150678864515,2.552204107575946,0.1832595023016135,0.2237480078306463
28,instruct_control,attribute,182205.94955444336,20857.70736694336,161348.2421875,1.8542073358200167e-08,1.0,0.16322634530485622,2.4716936624029118,2.493458902173572,0.15755208333333334,0.17415434908535746
28,instruct,state,539664.2232971191,25691.95767211914,513972.265625,4.885226393784118e-08,0.9858940839767456,,2.2570565151947517,3.5232774323887295,0.5985188802083333,0.7486984186702305
28,instruct_control,state,456005.2438964844,64563.227294921875,391442.0166015625,8.292303732559958e-09,1.0,,7.68050843419782,7.7308909677113595,0.08211835540003247,0.09475584162606134
28,instruct,correctness_instruct,20235.009326934814,680.373706817627,19554.635620117188,4.5104333897446246e-08,1.0,,0.06875294369187146,0.09463206412317751,0.45907163619995117,0.8205054799715678
28,instruct_control,correctness_instruct,20200.665806770325,680.4814805984497,19520.184326171875,1.0250276242610805e-07,1.0,,0.08052179515274183,0.08176580821653978,0.6387787886791759,0.6565129096309344
28,instruct,multitask_dual,5153367.382080078,96320.50708007812,5057046.875,1.406369216765719e-06,1.0,0.09724376566042238,10.829168275985067,11.859453421168856,0.05403178630189763,0.08322581654000613
28,instruct_control,multitask_dual,5174684.791870117,85393.38562011719,5089291.40625,1.2350889644352492e-08,1.0,0.16322634530485622,10.158518137713168,10.214802385722098,0.12168250723431508,0.13259684244791667
28,instruct,multitask_triple_instruct,5153871.851318359,97303.10131835938,5056568.75,1.1396006788110135e-06,1.0,0.09724376566042238,11.05713271783563,11.977616675694783,0.19393807870370375,0.32181412721121755
28,instruct_control,multitask_triple_instruct,5174790.068725586,86078.34997558594,5088711.71875,6.565564412820537e-08,1.0,0.16322634530485622,10.2400422368871,10.297526473455187,0.29507755771003386,0.3054978412748487
