attribute,layer,kl_divergence,kl_divergence_reverse,js_divergence,kl_ci_lower,kl_ci_upper,js_ci_lower,js_ci_upper,kl_std_error,js_std_error,n_samples,pca_enabled,pca_dim,kl_divergence_label
Dance_and_Music,16,261.5675888805322,275.65957527371916,56.66778057823865,883.2334537169626,887.978265784041,151.80832342733206,152.2603961909014,1.1956186559189912,0.12172638531954695,2874,False,,baseline
Dance_and_Music,24,303.85636196254063,301.48314475753205,63.33005375715521,856.9077018507822,861.0531667691839,149.59373757131908,150.02777890211487,1.0330974238999502,0.10748769373183915,2874,False,,baseline
Dance_and_Music,28,777.659501505794,918.8886182024107,163.1255590324352,1434.444496703343,1440.21096393178,264.8804792392257,265.5405197897468,1.4930332503654082,0.17096843738106152,2874,False,,high
Festivals,8,275.2329412243207,270.00274098588716,59.68383876311958,925.3603594984256,930.2378220481943,157.61749880371326,158.07161076460284,1.2598467430863836,0.11938604261253796,3267,False,,baseline
Festivals,16,218.4234655793706,231.0157939452547,47.66224927801744,738.1061051817453,741.8805442850452,131.52543298295944,131.9102585411892,0.9429392412879456,0.09787931805404378,3267,False,,baseline
Festivals,24,241.24850078029408,240.4383294684526,49.16829650500131,704.2283419824307,707.5296571775924,124.83718617525709,125.18154168241628,0.8074786835748954,0.08739315195482668,3267,False,,baseline
Festivals,28,655.3656007091649,778.5953966823613,139.62689860293085,1190.1954986000778,1194.4419196164633,227.3653695063485,227.92317016514394,1.137299472937412,0.1415456727756779,3267,False,,high
History,8,170.32896496380613,165.0067008266958,37.16732047337081,653.3481462032302,656.5200280355497,117.20062387103997,117.56515117828498,0.795746183909748,0.09085250254669192,3528,False,,baseline
History,16,142.1861878937617,147.62826799687616,31.607343574444428,543.0249080934161,545.323445656266,101.80849471223563,102.10663031854347,0.6062498180559769,0.07760321908304273,3528,False,,baseline
History,24,171.31963288565998,168.59101973587406,35.87842581045834,586.5828029888191,589.3636041312726,106.68071548566445,107.01474280877082,0.7203297474161973,0.08309420492697352,3528,False,,baseline
History,28,451.4869232754231,536.0824190826479,101.58084329582738,938.7833275189183,942.3410423418321,185.0178270349721,185.4688715259021,0.9461029079063286,0.11850716213308984,3528,False,,moderate
Language,8,329.7854964619885,317.0367742354945,65.38724021871008,1447.1475895142776,1459.9341278803413,197.28410350138182,198.1388178691126,3.1842766545221486,0.21145686353811718,1710,False,,baseline
Language,16,253.6857425431449,264.19754525531494,52.48607526091888,1138.502778077912,1148.4697818498503,166.48901039023275,167.19649192057486,2.4280936471603165,0.17764655810637336,1710,False,,baseline
Language,24,261.97691661390877,256.61051521886645,52.167070730318756,977.9498151054539,985.3113431859778,149.6649052798606,150.27496298497218,1.957231246026655,0.15360773742888403,1710,False,,baseline
Language,28,695.9218030594329,820.2959798989195,143.63135608967661,1505.926851685593,1514.4488612032524,258.87857324991876,259.7057871471234,2.1887647555388434,0.20750846669198883,1710,False,,high
Medicine,8,180.39489623312625,173.2557225321749,36.645569441433736,1063.4551698215116,1094.4013754941516,78.15792716545391,79.01162169765995,7.6932934165483315,0.21405408252973152,135,False,,baseline
Medicine,16,200.88191679141005,197.29672306830105,38.59204395902185,1033.6755981649576,1062.6309026581107,78.92976825282939,79.72826532180838,7.311499169353239,0.21235816436049879,135,False,,baseline
Medicine,24,252.27897919055977,236.49915397152745,46.82615237058616,1195.1304154094832,1231.2262589099712,88.8384143713895,89.78466009077466,9.262936599203693,0.24597452647916135,135,False,,baseline
Medicine,28,686.9378374153437,752.3935139114756,142.91125337326463,1595.5982159453667,1630.604561794319,194.82914761058075,196.59740014519332,9.0855804808962,0.4436227986142668,135,False,,high
Nightlife,8,103.7100664154209,98.86722431111252,21.97234082630689,750.2768442924724,785.9299169232481,46.650470915255916,47.42808209738089,9.172705006857617,0.20715280562325267,57,False,,baseline
Nightlife,16,119.63697553806571,119.00012394882197,24.646149685540422,765.4016270641598,801.1651349568542,49.56232300678691,50.41892802186991,9.285132537182532,0.2183595551335049,57,False,,baseline
Nightlife,24,176.80010098207185,164.75083906917746,35.30492651861243,940.255537391056,994.1525512166963,63.10108808282454,64.67773212692013,13.414893107421644,0.4000553047528289,57,False,,baseline
Nightlife,28,357.6430722279406,414.52595779228955,83.45323011568269,1040.0460363254558,1087.6783741790018,119.288402524275,121.7002097483925,12.27677595937496,0.6145997280625279,57,False,,baseline
Personalities,8,236.7496224062295,236.30833113309438,50.264726222665786,1138.5518476832478,1148.5796754586825,165.06102621376405,165.7737778207909,2.579438287204712,0.18709640063095964,1482,False,,baseline
Personalities,16,197.89513529375472,208.62832570296018,41.48452832667704,910.4455529892977,917.6886689620543,138.37119335292928,138.92912269156838,1.8862348532283604,0.1498473786181306,1482,False,,baseline
Personalities,24,209.36299791920965,208.33378542393416,42.547528572175,828.392706815652,834.8236142910711,129.487525786109,130.02726083146229,1.6152510954571695,0.13227936180146144,1482,False,,baseline
Personalities,28,541.4257950029821,654.2658878852794,119.17358629812088,1238.335186669233,1245.7642053878403,222.85477389543482,223.57394725510915,1.8959130112770883,0.18193295558889916,1482,False,,high
Religion,8,356.8218801888063,332.5523362050217,72.32545709464603,1497.9613631968825,1515.9005192698046,186.03671486246353,186.943271114721,4.379599621154107,0.23734148478653236,888,False,,baseline
Religion,16,319.1066843373403,329.609862261766,64.61885559368716,1403.3048443755908,1419.1896421711917,174.81317280538363,175.70463112050365,4.103252496318977,0.22113902838943825,888,False,,baseline
Religion,24,333.21726858116926,325.3763270763302,64.58352430115258,1211.3435447622148,1225.499507880587,161.46511987840444,162.24941547591098,3.864763307418264,0.2051859480119804,888,False,,baseline
Religion,28,806.2570575989257,957.0125457051545,163.0133886944423,1655.4993393476327,1670.6848024448673,270.97026221976415,272.16222847394783,4.1277717165666115,0.3032986130788763,888,False,,high
Rituals_and_Ceremonies,8,226.9499329372943,221.61752400375713,48.175987713229745,1106.202729020637,1115.3858047444414,165.90175298597686,166.5983998986457,2.255254466497013,0.17984657639154636,2019,False,,baseline
Rituals_and_Ceremonies,16,185.53399312785803,195.783448324039,39.97770730284827,858.7688050568236,864.7343480868518,138.26485371631244,138.7754672132999,1.47676243733893,0.13199213809995566,2019,False,,baseline
Rituals_and_Ceremonies,24,197.6103472714642,196.34955928165925,40.831214323426764,783.011714062131,788.601128337118,129.10697483250613,129.5901845973081,1.4007221728907002,0.12248677923380902,2019,False,,baseline
Rituals_and_Ceremonies,28,507.64025209896,605.9723046721833,113.76297425360912,1157.588995942905,1163.8704038383005,215.67699444618347,216.30640680502046,1.6137338410347473,0.1620153775674962,2019,False,,high
Sports,8,237.3490575210153,227.7136084544693,48.48864448660953,1325.8235192070447,1351.4707826459087,122.1506930970786,123.08920811858573,6.6409101889705395,0.2433040518601211,342,False,,baseline
