state,layer,kl_divergence,kl_divergence_reverse,js_divergence,kl_ci_lower,kl_ci_upper,js_ci_lower,js_ci_upper,kl_std_error,js_std_error,n_samples,pca_enabled,pca_dim,kl_divergence_label
Chandigarh,8,159.73100952966195,149.7230403716693,34.686119300634914,1044.6382395533199,1065.4411802028637,95.81774530180348,96.71777585421626,5.514607850577531,0.23019959357324174,282,False,,baseline
Chandigarh,16,173.51390364483473,169.93926648026581,35.23738690200548,983.6527329795082,1002.4682012584514,94.04426430757267,94.84682698150789,4.919556840175451,0.2077637846457733,282,False,,baseline
Chandigarh,24,180.69645874947787,167.08954930549487,36.60355649753956,896.0759608608276,915.8195750707578,91.63152438299369,92.57787298029426,5.03650735985679,0.2393157315043084,282,False,,baseline
Chandigarh,28,440.0964221914785,502.6663082977768,99.31537256233844,1082.0016981404008,1101.2649932999136,160.4881289226222,162.01481692189665,4.948615731029164,0.3817254408629361,282,False,,moderate
Chhattisgarh,8,305.29841024294797,294.91974681628744,64.00742401455267,1586.866766482355,1609.0958483550924,173.33801952294314,174.40034215287756,5.6759774967554275,0.25819131145901136,657,False,,baseline
Chhattisgarh,16,260.3669609450835,266.1110040606086,53.19589999575078,1262.3131305203906,1277.7063745475057,148.59816741389005,149.4425328153617,3.9619516702581232,0.20520575037972416,657,False,,baseline
Chhattisgarh,24,237.91614562016184,227.5112497630139,48.301609044740985,999.1886363144162,1012.3866680053255,128.62461743648927,129.3405509137728,3.159492704890855,0.18181246562033226,657,False,,baseline
Chhattisgarh,28,613.6034764938147,717.0221416649708,135.4379518011744,1364.6061372349488,1376.5640417711338,226.90773706714657,227.8692040565331,3.123324986820659,0.24569478368312564,657,False,,high
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,8,264.1878297950086,246.90051163016744,54.029487265259206,1200.0781973685796,1214.9775682384727,141.4696743885515,142.28296481049992,3.772277193989249,0.20405933516509425,588,False,,baseline
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,16,217.79339976789652,217.9319132383897,45.73556830680491,1029.8171123151888,1042.850054219666,125.92940492973374,126.64263487623799,3.1259043176006767,0.17293725342550118,588,False,,baseline
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,24,221.50498954614568,207.22046792125514,45.447392466688086,901.6449362535712,913.4947235355345,117.11829267784081,117.77991562748686,2.9791558059525625,0.16785240934500453,588,False,,baseline
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,28,550.3060146327507,618.9484829270864,122.59900277616356,1194.4705058740485,1204.7833842645493,201.12704922615313,201.99869374550605,2.7885747935797545,0.217031405039282,588,False,,high
Delhi,8,172.6276108142572,167.68838585805338,37.14509813412633,1050.3046450035597,1062.1536743386405,134.77781890948629,135.53866287699555,2.9691544735008106,0.1947808803900717,864,False,,baseline
Delhi,16,171.09433245124376,175.4358467957435,36.08390619387586,961.9971755745441,971.8863217928325,126.76869928288598,127.47249010114534,2.567740936306206,0.17984619080940747,864,False,,baseline
Delhi,24,169.6285064698816,162.38828772739066,34.52982108869173,841.4822971991279,850.7601975498362,115.4565997075871,116.0779804162175,2.3525417785556892,0.1635171917739157,864,False,,baseline
Delhi,28,426.23755557590266,501.2533224512995,95.8531991769575,1066.7038554690048,1074.9176107591277,183.82981766434273,184.59782011996614,2.170619826306151,0.1898750194254663,864,False,,moderate
Goa,8,179.85656275512417,171.83339789061006,38.57942795716599,1066.275004319712,1084.2836693892343,111.21207331926072,112.03816940208496,5.040271522485736,0.21933142828038232,405,False,,baseline
Goa,16,189.1846098555999,192.44923388390328,38.48151522827055,1008.3798750889698,1025.451107231888,108.05359440939866,108.79055273312937,4.607936140412131,0.19403358680750496,405,False,,baseline
Goa,24,195.57041421327665,185.19941569325636,38.92754768214178,896.9576140809934,913.4107422017665,102.33276703249552,103.05891091624645,4.524954271662574,0.1990237354292268,405,False,,baseline
Goa,28,455.1043458216807,521.2755395073088,101.44757984229409,1078.6983873439967,1093.4087700314494,170.2051553017686,171.24735154106,3.979418762605744,0.2662471476396511,405,False,,moderate
Gujarat,8,242.49897997097696,232.51427416566003,50.41141613083681,1344.005784756718,1362.821970550916,150.4254263983267,151.28391826338915,4.86831672534533,0.22315861165246859,660,False,,baseline
Gujarat,16,216.33955520695645,219.56760023543018,43.81032721010479,1116.4680960806138,1130.640128456508,132.96547995074616,133.65184499666077,3.67129024817909,0.19149217824587705,660,False,,baseline
Gujarat,24,225.07543400374198,213.37805361630205,44.555568163253554,996.6375789977952,1011.0047963577031,125.09896465085468,125.77985291193465,3.7686953333328175,0.18644456611142285,660,False,,baseline
Gujarat,28,584.434952738585,678.2657204700711,126.2477252321421,1352.7643960017044,1367.1321549184984,218.1783566852244,219.13366834803995,3.829655886912442,0.2475113899039421,660,False,,high
Haryana,8,244.33733811852244,233.9682718628402,49.74265360359169,1338.691247103289,1353.5625350579014,158.80212744103778,159.70151268146063,3.719576247511206,0.2296085878699497,819,False,,baseline
Haryana,16,197.30602204833633,203.46462556687175,40.34770031823501,1090.4113593929014,1102.0598874348395,136.59516336490645,137.34784631819875,2.9059706539089167,0.19205820867526427,819,False,,baseline
Haryana,24,234.87483043529983,230.39723102276753,46.53491619263042,1120.2669794620995,1133.4281424835142,142.125649194635,142.98319264511014,3.319731882184402,0.214949970232702,819,False,,baseline
Haryana,28,650.7109829616154,780.246640174634,133.77876009182808,1620.331020883105,1636.1129845786131,247.5398438933826,248.81057208203117,4.106382612561022,0.3286729528842563,819,False,,high
Himachal_Pradesh,8,291.7219600379883,282.8199169294529,61.67819464752711,1363.7364051930792,1376.419989924969,187.49020578599212,188.32042821778424,3.361910895436239,0.2147771990997522,1422,False,,baseline
Himachal_Pradesh,16,225.92278504364663,239.17277247664174,47.628181867221485,1059.7356325597902,1069.7619762666743,153.72261557162503,154.3504618338146,2.4748469509975974,0.16884512612884683,1422,False,,baseline
Himachal_Pradesh,24,247.1427845211233,241.83485072235328,50.5972754033387,985.7704727321352,995.0033814426988,147.46991889950087,148.0959617090768,2.407098999212865,0.16438306750879592,1422,False,,baseline
Himachal_Pradesh,28,659.3462035070804,777.8411259440784,144.55550462256247,1474.7643186085606,1485.2336929622063,258.9416791407357,259.8318497393098,2.6806145989759638,0.23132446263504944,1422,False,,high
Jammu_kashmir,8,193.95649826740112,183.14329803157273,41.20577078622739,1234.8507004991538,1261.8026497262947,112.92174741171354,113.88082990457596,6.9259401771294895,0.2407229659483373,336,False,,baseline
Jammu_kashmir,16,201.93068365878548,202.3083515479791,40.56981950703624,1125.508253228089,1148.7275170283094,108.42572962926802,109.24182240992013,5.867664231862868,0.2112733980149116,336,False,,baseline
Jammu_kashmir,24,199.85382814234333,188.27937652518176,39.0871478526804,996.8937809282137,1020.3268993395072,101.56403711351726,102.45224521526755,5.70800803852121,0.21686369063858416,336,False,,baseline
Jammu_kashmir,28,505.8777246101549,583.5294341860808,112.08192392192058,1278.2022720187185,1300.9132793939675,183.64939484984558,184.8745457625152,5.5426317002288,0.3100444911985076,336,False,,high
Jharkhand,8,288.2933295868786,275.9556848128964,57.96486290622511,1306.4116022461028,1317.9750278579559,179.63073805255124,180.36311535724198,2.9383148651578948,0.18868810109096582,1389,False,,baseline
Jharkhand,16,231.74459231160972,241.11834402813986,47.94269995238608,1091.2457094203123,1100.1889117964313,156.33336424644534,156.94249029999668,2.3241300312829116,0.1573553115432546,1389,False,,baseline
Jharkhand,24,250.9610894125217,247.15589751046036,51.353796553589916,1047.124412242139,1056.3598339676169,153.7068721821751,154.33527155485987,2.281443429564149,0.16150412419225313,1389,False,,baseline
Jharkhand,28,736.1554543605748,861.548109520955,157.0810662927721,1683.4364131364205,1695.7520065626695,284.3207364039702,285.32532047328135,3.0001464758179486,0.26431775896019405,1389,False,,high
Karnataka,8,286.2076637352584,276.5183428226386,58.71258643435851,1311.6274918208653,1322.9023036432852,178.7903274850983,179.57450521866323,3.182418263408925,0.21223929995812105,1308,False,,baseline
Karnataka,16,213.89810754821121,220.45808886536895,45.41363046084132,1023.8504554769625,1031.86729684591,148.10363474404596,148.71428347340853,2.2150296815984523,0.16302828347199705,1308,False,,baseline
Karnataka,24,248.4353218047272,245.1240051657379,50.37321790179544,957.1759256212775,965.9597738076152,143.87308209327162,144.53205182026,2.3047249045979123,0.1742111636511465,1308,False,,baseline
Karnataka,28,650.1201872189645,766.7287214042744,139.18860113759536,1448.4286518891881,1458.949896761476,249.84622418990705,250.86703775379985,2.72809575193935,0.26902648425382647,1308,False,,high
Kerala,8,196.70561547923012,186.3839169381481,41.2916266891952,1216.4958854381389,1242.9921289121455,110.64649765177197,111.60072136950829,6.596983383820374,0.24398224713348865,324,False,,baseline
Kerala,16,171.67920376304676,173.11477691634207,34.90471203845692,984.2566463098017,1003.1214568330142,97.23113982828329,97.95536836154514,4.717754069419859,0.19327010834640376,324,False,,baseline
Kerala,24,172.5081349839444,164.50432297746204,35.47892601362395,897.1557770086104,914.9669069782409,93.10863885029424,93.84610318325934,4.594609006933231,0.19312599378901954,324,False,,baseline
Kerala,28,401.7682422229691,462.0417881039316,91.61607018469994,1038.8945773889095,1053.7717062555978,154.23602769063558,155.08091420148838,3.8445061828962834,0.2350443938058213,324,False,,moderate
Ladakh,8,190.9875277208116,179.7602998141199,39.609374864670826,1115.5260208785044,1131.6565565605335,116.24168906251556,117.00938629453708,4.345551420068571,0.19933059133464506,429,False,,baseline
Ladakh,16,174.8267419399125,173.9675638564056,34.771931425492255,985.9505686409982,1001.1276666707934,106.07775570273519,106.7730509063897,3.8174295993613048,0.17668929282504056,429,False,,baseline
Ladakh,24,186.5629883275186,177.9163198662401,37.45089751301015,929.3305064320539,943.5688245745173,104.45729169284651,105.11218212925633,3.8616989931435124,0.17766501195947665,429,False,,baseline
Ladakh,28,473.59876050539356,555.1687924610142,104.42256741990536,1218.0309055196556,1231.3324488707894,181.9922063581799,182.82330790442037,3.6522386435341385,0.2223197839202949,429,False,,high
Lakshadweep,8,184.23914811173233,172.50580777222433,38.7505211232384,1222.0193148638134,1254.576039801855,88.75602255078718,89.7607587536143,8.412612673327063,0.2531390741966629,171,False,,baseline
Lakshadweep,16,166.80296154694054,166.18423532327915,33.893863423010316,1010.0478992775033,1035.406253038466,80.14140787669507,80.95790970993166,6.4138799400012845,0.19967512376090188,171,False,,baseline
Lakshadweep,24,191.43322444756723,182.12418510175303,38.52305346603049,1043.937639955861,1071.079547658116,84.35827755323325,85.18640767515359,6.692314194109123,0.20424080434896252,171,False,,baseline
Lakshadweep,28,453.8280789993048,519.9079687785911,101.61244120199763,1192.2335459410922,1213.6416995287796,154.21851518365466,155.3514518711746,5.66306867780531,0.28493608989336355,171,False,,moderate
Madhya_Pradesh,8,200.26787366237158,188.8328142383824,43.47833085816228,1183.8216957648244,1204.0682774126622,118.3433842683111,119.17869208192194,5.194333970234885,0.21464985301387338,390,False,,baseline
Madhya_Pradesh,16,181.63891015302443,180.11540603246794,37.13893579301845,1002.8397419171877,1019.4626567034271,105.49390654276439,106.20343782371005,4.1738727082152876,0.18823769725557943,390,False,,baseline
Madhya_Pradesh,24,193.2194829242228,180.80208576361406,39.529365875623284,928.9356212691476,945.0948953553535,102.90114742346493,103.62086025055925,4.212101996975122,0.18723598358197197,390,False,,baseline
Madhya_Pradesh,28,504.647135753949,565.6892218939033,112.22612731621797,1196.7339688872714,1212.8874113859986,184.20572291040526,185.31095057730303,4.12748730447807,0.2917337026310543,390,False,,high
Maharashtra,8,218.0267240029043,210.26122544748227,45.92212538568049,1148.2389456511642,1163.8237385459058,130.10441067471515,130.93634899381976,3.9126584932586157,0.2094829057837768,534,False,,baseline
Maharashtra,16,202.2014238930991,203.85795348648787,40.15222465247916,1021.9604803866034,1035.0708581859171,117.49864479208124,118.22163601525743,3.2725438670054627,0.18673214326884469,534,False,,baseline
Maharashtra,24,216.2200675564004,204.00549982136113,42.610182249978834,927.8583939143058,939.4157673966614,113.57280318577372,114.23543021679575,2.988001083767828,0.17667144644151694,534,False,,baseline
Maharashtra,28,550.3901861185657,648.2465958502223,121.78122059388613,1243.5591556656993,1255.6744595961227,202.30343849359417,203.32493426575303,3.0596299313080464,0.25036142424543595,534,False,,high
Manipur,8,245.9201954441569,235.5493053015316,51.45171621905075,1066.3617264265267,1076.0358910168907,157.79425801607277,158.50320233143145,2.3091309466464103,0.17818685478695626,1449,False,,baseline
Manipur,16,208.52078222895898,213.01621061262563,43.51079688117807,911.725212930334,919.2049262034824,138.48952099135667,139.07625846555683,1.8564347925701743,0.14835524915029435,1449,False,,baseline
Manipur,24,243.38567930048998,235.43774436941158,48.82589736285382,882.017103691069,888.42611357647,136.94413364380233,137.5072357292518,1.6742970740075354,0.14407509837607757,1449,False,,baseline
Manipur,28,625.3868704516578,728.5323466642087,135.05455004281492,1317.3288635961715,1324.5462661836962,236.72972731775457,237.5009459373503,1.8325306943312363,0.1872025683542639,1449,False,,high
Meghalaya,8,249.6610080494363,233.3415339581809,51.14194821633197,1463.7391643861042,1483.0770850325068,153.02050998414828,153.98933274109316,4.859611068180421,0.23176142668905578,603,False,,baseline
Meghalaya,16,229.11819884380589,227.73662257035244,46.123007504044836,1241.1623764021492,1256.1181611467298,138.51055755404997,139.3031591192241,3.8895940485931613,0.2065400460451684,603,False,,baseline
Meghalaya,24,239.90906632948258,227.01773931128332,47.741559262780754,1198.1399595231812,1213.2926591334824,136.68217682191911,137.47206654693818,4.104535050780104,0.2089839511341063,603,False,,baseline
Meghalaya,28,622.5585818124143,717.3036232665004,124.67415551958618,1540.8090522300547,1555.298594415029,225.14752794699606,226.1882455007123,3.8282280258723236,0.26922909720771776,603,False,,high
Mizoram,8,293.47611121876366,275.5372644642998,60.01613817882475,1451.211928773226,1471.4120287454061,159.11129713917978,160.13299912100854,5.020264644547549,0.25974097322890777,606,False,,baseline
Mizoram,16,259.85092188569683,261.81615707844855,52.72359341801888,1288.8334060570587,1305.993949925969,145.0709689330314,145.90554469434048,4.457034559294509,0.22275265711103556,606,False,,baseline
Mizoram,24,339.00520561033454,315.9312743342714,63.79194948212216,1380.8828016468226,1399.6225502815366,156.50474055099673,157.42914916282353,4.832247358438546,0.23824856838577047,606,False,,baseline
Mizoram,28,749.7853298587163,846.9378848558697,156.11427618191112,1620.3380177311158,1636.0442273908404,253.80794555213924,254.92924636415916,3.8816159954045366,0.2906278490510723,606,False,,high
