layer,model,task,group,data_pct,chunk_bits,cumulative_bits,bits_per_sample,accuracy
8,instruct,attribute,enhancement,0.06,4542.27392578125,8141.1954345703125,11.338712304415477,0.15416666865348816
8,instruct,attribute,enhancement,0.08,3355.542724609375,11496.738159179688,12.013310511159547,0.0920502096414566
8,instruct,attribute,enhancement,0.1,4075.695068359375,15572.433227539062,13.009551568537228,0.1041666716337204
8,instruct,attribute,enhancement,0.12000000000000001,6022.11865234375,21594.551879882812,15.037988774291652,0.15062761306762695
8,instruct,attribute,enhancement,0.13999999999999999,4129.125,25723.676879882812,15.357419032765858,0.24267782270908356
8,instruct,attribute,enhancement,0.16,3168.674072265625,28892.350952148438,15.087389531148009,0.16250000894069672
8,instruct,attribute,enhancement,0.18,4222.93701171875,33115.28796386719,15.373856993438805,0.15062761306762695
8,instruct,attribute,enhancement,0.2,4602.36865234375,37717.65661621094,15.755077951633641,0.1666666716337204
8,instruct,attribute,enhancement,0.25,9851.5029296875,47569.15954589844,15.89878327068798,0.17391304671764374
8,instruct,attribute,enhancement,0.3,10172.580078125,57741.73962402344,16.07957104539778,0.273789644241333
8,instruct,attribute,enhancement,0.35,7408.02734375,65149.76696777344,15.55258223150476,0.08695652335882187
8,instruct,attribute,enhancement,0.39999999999999997,8886.060546875,74035.82751464844,15.462787701472104,0.10684473812580109
8,instruct,attribute,enhancement,0.44999999999999996,2768.485595703125,76804.31311035156,14.259991294161077,0.3227424621582031
8,instruct,attribute,enhancement,0.49999999999999994,3360.009033203125,80164.32214355469,13.396444208481732,0.45150500535964966
8,instruct,attribute,enhancement,0.5499999999999999,4574.50927734375,84738.83142089844,12.872372994212128,0.2570951581001282
8,instruct,attribute,enhancement,0.5999999999999999,5656.7998046875,90395.63122558594,12.588167556828568,0.3110367953777313
8,instruct,attribute,enhancement,0.6499999999999999,7222.2255859375,97617.85681152344,12.547282366519722,0.1936560869216919
8,instruct,attribute,enhancement,0.7,5771.255859375,103389.11267089844,12.339075387384943,0.17529214918613434
8,instruct,attribute,enhancement,0.7499999999999998,7103.74951171875,110492.86218261719,12.308439588127124,0.285953164100647
8,instruct,attribute,enhancement,0.7999999999999998,6294.28125,116787.14343261719,12.197090697923466,0.3026755750179291
8,instruct,attribute,enhancement,0.8499999999999999,6783.75390625,123570.89733886719,12.14575362088335,0.3505842983722687
8,instruct,attribute,enhancement,0.8999999999999999,5335.7177734375,128906.61511230469,11.966822791710424,0.24749164283275604
8,instruct,attribute,enhancement,0.9499999999999997,3069.22802734375,131975.84313964844,11.606353279364034,0.41402336955070496
8,instruct,attribute,enhancement,0.9999999999999998,3490.9072265625,135466.75036621094,11.318134377659867,0.49665552377700806
8,instruct,state,enhancement,0.02,899.359130859375,899.359130859375,3.7630089157296025,0.016736401244997978
8,instruct,state,enhancement,0.04,1135.2784423828125,2034.6375732421875,4.256563960757714,0.08786610513925552
8,instruct,state,enhancement,0.06,1480.7005615234375,3515.338134765625,4.896014115272458,0.05833333730697632
8,instruct,state,enhancement,0.08,1687.5950927734375,5202.9332275390625,5.436711836508947,0.07531380653381348
8,instruct,state,enhancement,0.1,1274.97509765625,6477.9083251953125,5.4117864036719405,0.10000000894069672
8,instruct,state,enhancement,0.12000000000000001,1614.20458984375,8092.1129150390625,5.635176124679013,0.025104600936174393
8,instruct,state,enhancement,0.13999999999999999,1749.023193359375,9841.136108398438,5.875305139342351,0.08368200808763504
8,instruct,state,enhancement,0.16,1343.643310546875,11184.779418945312,5.840615884566743,0.02916666865348816
8,instruct,state,enhancement,0.18,1633.4244384765625,12818.203857421875,5.9508838706693945,0.08368200808763504
8,instruct,state,enhancement,0.2,1134.9652099609375,13953.169067382812,5.828391423301091,0.09583333879709244
8,instruct,state,enhancement,0.25,3665.54931640625,17618.718383789062,5.888609085490997,0.05183946341276169
8,instruct,state,enhancement,0.3,2767.240478515625,20385.958862304688,5.676958747508963,0.09015024453401566
8,instruct,state,enhancement,0.35,3045.685302734375,23431.644165039062,5.593612834814768,0.05183946341276169
8,instruct,state,enhancement,0.39999999999999997,7724.12841796875,31155.772583007812,6.507053588765207,0.07345575839281082
8,instruct,state,enhancement,0.44999999999999996,3785.368408203125,34941.14099121094,6.487400852434263,0.11036789417266846
8,instruct,state,enhancement,0.49999999999999994,2923.7509765625,37864.89196777344,6.32768916573754,0.12709030508995056
8,instruct,state,enhancement,0.5499999999999999,3032.241455078125,40897.13342285156,6.212537357261365,0.07846410572528839
8,instruct,state,enhancement,0.5999999999999999,4425.8134765625,45322.94689941406,6.311509107285066,0.0852842777967453
8,instruct,state,enhancement,0.6499999999999999,3828.0830078125,49151.02990722656,6.317613098615239,0.08514189720153809
8,instruct,state,enhancement,0.7,3582.906982421875,52733.93688964844,6.2935835886917815,0.08514189720153809
