layer,model,task,group,prior,data_cost,model_cost,total_mdl,fisher_info,sparsity,acc_attribute,acc_state,acc_correctness_base,acc_correctness_instruct
8,instruct,attribute,all,l2,12530.97817993164,3445.3647079467773,15976.342887878418,1.870784238633405e-08,0.0,0.8979774476463218,,,
8,instruct_control,attribute,all,l0,82953.71423339844,129943.84057617188,212897.5548095703,1.8564590457496404e-08,1.0,0.16744227671379988,,,
8,instruct_control,attribute,all,l1,83608.80297851562,2970.1827850341797,86578.9857635498,9.420432789397637e-08,0.0,0.1664280174213949,,,
8,instruct_control,attribute,all,l2,76917.6611328125,2341.0278854370117,79258.68901824951,9.313442994596244e-08,0.0,0.23178807947019867,,,
8,instruct,state,all,l0,64054.89636230469,379910.115234375,443965.0115966797,4.03876873981505e-08,0.9928023815155029,,0.5056380884195454,,
8,instruct,state,all,l1,30069.807067871094,31521.823974609375,61591.63104248047,1.2433393425936856e-08,0.0,,0.8325577232862001,,
8,instruct,state,all,l2,5695.958572387695,6877.636367797852,12573.594940185547,1.804769556024155e-09,0.0,,0.9870831095996659,,
8,instruct_control,state,all,l0,114752.7705078125,289418.958984375,404171.7294921875,8.429922833859868e-09,1.0,,0.08618220869876499,,
8,instruct_control,state,all,l1,114868.193359375,4926.731414794922,119794.92477416992,3.1636069763862906e-08,0.0,,0.08591372829783425,,
8,instruct_control,state,all,l2,99433.53564453125,5138.324478149414,104571.86012268066,3.14018668845506e-08,0.0,,0.18534097010918202,,
8,instruct,correctness_instruct,all,l0,21936.819549560547,19050.895568847656,40987.7151184082,8.858254811154136e-08,1.0,,,,0.638356899946304
8,instruct,correctness_instruct,all,l1,20574.421264648438,910.0751667022705,21484.496431350708,1.9107139337393164e-07,0.0,,,,0.6569118787661834
8,instruct,correctness_instruct,all,l2,19421.712158203125,167.80885648727417,19589.5210146904,2.34416035027607e-07,0.0,,,,0.6865342163355408
8,instruct,multitask_dual,all,l0,220384.0888671875,4085539.21875,4305923.3076171875,1.217148833340279e-06,1.0,0.10032217648111688,0.0318596742437802,,
8,instruct,multitask_dual,all,l1,44067.17858886719,60293.72717285156,104360.90576171875,7.017292802391495e-09,0.0,0.8061571505280114,0.8573772447944633,,
8,instruct,multitask_dual,all,l2,17502.73046875,16202.144989013672,33704.87545776367,5.956835793149058e-09,0.0,0.8879243481892488,0.9846667859912893,,
8,instruct,multitask_triple_instruct,all,l0,243991.78955078125,4089246.046875,4333237.836425781,1.0952265707686593e-06,1.0,0.10032217648111688,0.0318596742437802,,0.638356899946304
8,instruct,multitask_triple_instruct,all,l1,64971.947021484375,60025.52966308594,124997.47668457031,3.8680676814339954e-08,0.0,0.8063361374619653,0.8580036990633018,,0.6555396456058707
8,instruct,multitask_triple_instruct,all,l2,36981.818908691406,16492.37338256836,53474.192291259766,4.6473955968295844e-08,0.0,0.8875365431656822,0.985979356840284,,0.6777340254161446
8,base,attribute,suppression,l0,31169.388916015625,173756.91796875,204926.30688476562,4.6486949975323616e-07,0.9996744990348816,0.11119490531255237,,,
8,base,attribute,suppression,l1,4503.586883544922,3074.1796875,7577.766571044922,2.3729590736820683e-08,0.0,0.9039718451483157,,,
