cluster_id,size,suppression_pct,enhancement_pct,control_pct,top_states,top_attributes,base_accuracy,instruct_accuracy
23,63,23.809523809523807,52.38095238095239,23.809523809523807,"{'Telangana': 18, 'Tripura': 15, 'Goa': 15}","{'Cultural_Common_Sense': 18, 'Tourism': 15, 'Cuisine': 15}",0.5714285714285714,0.7142857142857143
24,54,66.66666666666666,11.11111111111111,22.22222222222222,"{'West_Bengal': 33, 'Arunachal_Pradesh': 12, 'Delhi': 6}","{'Rituals_and_Ceremonies': 33, 'Cultural_Common_Sense': 12, 'Tourism': 6}",0.5555555555555556,0.5555555555555556
25,69,21.73913043478261,65.21739130434783,13.043478260869565,"{'Jharkhand': 36, 'Sikkim': 33}","{'Transport': 36, 'Tourism': 33}",0.6086956521739131,0.782608695652174
26,81,44.44444444444444,18.51851851851852,37.03703703703704,"{'Manipur': 60, 'Delhi': 21}","{'History': 54, 'Tourism': 15, 'Personalities': 12}",0.7037037037037037,0.6666666666666666
27,72,33.33333333333333,20.833333333333336,45.83333333333333,"{'Assam': 36, 'Tripura': 36}","{'Dance_and_Music': 33, 'Religion': 24, 'Cultural_Common_Sense': 12}",0.7916666666666666,0.7916666666666666
28,78,23.076923076923077,42.30769230769231,34.61538461538461,"{'Maharashtra': 27, 'Odisha': 21, 'West_Bengal': 12}","{'Festivals': 51, 'Costume': 15, 'Dance_and_Music': 12}",0.7307692307692307,0.6538461538461539
29,89,47.19101123595505,22.47191011235955,30.337078651685395,"{'Sikkim': 77, 'Ladakh': 12}","{'Tourism': 80, 'History': 9}",0.8426966292134831,0.7303370786516854
30,132,31.818181818181817,34.090909090909086,34.090909090909086,"{'Meghalaya': 57, 'Mizoram': 27, 'Gujarat': 24}","{'Tourism': 93, 'Art': 36, 'Cultural_Common_Sense': 3}",0.7045454545454546,0.6818181818181818
31,147,69.38775510204081,30.612244897959183,0.0,"{'Assam': 51, 'Ladakh': 45, 'Arunachal_Pradesh': 36}","{'Personalities': 45, 'Language': 39, 'Art': 24}",0.5102040816326531,0.46938775510204084
32,70,10.0,38.57142857142858,51.42857142857142,"{'Mizoram': 36, 'Jharkhand': 33, 'Karnataka': 1}","{'Tourism': 36, 'Cultural_Common_Sense': 33, 'History': 1}",0.5714285714285714,0.6428571428571429
33,206,29.126213592233007,28.155339805825243,42.71844660194174,"{'Rajasthan': 52, 'Manipur': 36, 'Nagaland': 27}","{'History': 102, 'Tourism': 82, 'Festivals': 18}",0.7961165048543689,0.7233009708737864
34,337,47.18100890207715,38.57566765578635,14.243323442136498,"{'Delhi': 179, 'Chandigarh': 81, 'Uttar_Pradesh': 62}","{'History': 162, 'Tourism': 78, 'Art': 36}",0.7626112759643917,0.7477744807121661
35,51,82.35294117647058,17.647058823529413,0.0,"{'Arunachal_Pradesh': 33, 'Jharkhand': 18}","{'Language': 33, 'Cultural_Common_Sense': 18}",0.8235294117647058,0.6470588235294118
36,81,25.925925925925924,29.629629629629626,44.44444444444444,"{'Maharashtra': 42, 'Telangana': 21, 'Chhattisgarh': 18}","{'Cultural_Common_Sense': 33, 'Festivals': 30, 'Dance_and_Music': 15}",0.5555555555555556,0.5925925925925926
37,78,7.6923076923076925,23.076923076923077,69.23076923076923,"{'Tamil_Nadu': 30, 'Tripura': 27, 'Telangana': 21}","{'Art': 30, 'Cultural_Common_Sense': 27, 'Tourism': 21}",0.8461538461538461,0.7692307692307693
38,69,8.695652173913043,43.47826086956522,47.82608695652174,"{'Punjab': 42, 'Tripura': 27}","{'Personalities': 42, 'Cultural_Common_Sense': 27}",0.6521739130434783,0.6086956521739131
39,69,26.08695652173913,60.86956521739131,13.043478260869565,"{'Himachal_Pradesh': 27, 'Punjab': 24, 'Tripura': 18}","{'Festivals': 27, 'Dance_and_Music': 24, 'Tourism': 18}",0.4782608695652174,0.30434782608695654
40,85,7.0588235294117645,21.176470588235293,71.76470588235294,"{'Maharashtra': 37, 'Telangana': 24, 'Puducherry': 24}","{'Personalities': 37, 'Art': 24, 'History': 21}",0.47058823529411764,0.7176470588235294
41,81,22.22222222222222,38.2716049382716,39.50617283950617,"{'Rajasthan': 51, 'Delhi': 30}","{'Personalities': 30, 'Art': 27, 'Cuisine': 24}",0.6666666666666666,0.6419753086419753
42,75,28.000000000000004,64.0,8.0,"{'Jharkhand': 39, 'Mizoram': 36}",{'Tourism': 75},0.4,0.44
43,153,39.21568627450981,45.09803921568628,15.686274509803921,"{'Sikkim': 27, 'Gujarat': 24, 'Goa': 21}","{'Tourism': 33, 'Personalities': 30, 'Cultural_Common_Sense': 30}",0.5882352941176471,0.5490196078431373
44,54,66.66666666666666,33.33333333333333,0.0,"{'Puducherry': 18, 'Rajasthan': 18, 'Ladakh': 18}","{'Cultural_Common_Sense': 18, 'Costume': 18, 'Personalities': 18}",0.4444444444444444,0.4444444444444444
45,78,84.61538461538461,15.384615384615385,0.0,{'Jharkhand': 78},"{'History': 72, 'Cultural_Common_Sense': 6}",0.46153846153846156,0.2692307692307692
46,57,57.89473684210527,42.10526315789473,0.0,"{'Jammu_kashmir': 36, 'Nagaland': 21}","{'Cultural_Common_Sense': 36, 'Tourism': 21}",0.5263157894736842,0.5789473684210527
47,85,56.470588235294116,21.176470588235293,22.35294117647059,"{'Tripura': 33, 'Tamil_Nadu': 27, 'Sikkim': 24}","{'History': 33, 'Rituals_and_Ceremonies': 27, 'Tourism': 24}",0.788235294117647,0.5411764705882353
48,73,45.20547945205479,28.767123287671232,26.027397260273972,"{'Maharashtra': 33, 'Arunachal_Pradesh': 21, 'Madhya_Pradesh': 18}","{'Tourism': 72, 'History': 1}",0.7945205479452054,0.7534246575342466
49,65,21.53846153846154,32.30769230769231,46.15384615384615,"{'Odisha': 26, 'West_Bengal': 24, 'Punjab': 15}","{'Cuisine': 50, 'Dance_and_Music': 15}",0.5230769230769231,0.5230769230769231
50,63,38.095238095238095,38.095238095238095,23.809523809523807,"{'Manipur': 36, 'Arunachal_Pradesh': 27}","{'Tourism': 36, 'Costume': 15, 'Art': 12}",0.3333333333333333,0.42857142857142855
