model,layer,cluster_id,size,suppression_count,enhancement_count,control_count,suppression_pct,enhancement_pct,control_pct,base_accuracy,instruct_accuracy,top_states,top_attributes
instruct,18,113,195,58,101,36,29.743589743589745,51.7948717948718,18.461538461538463,0.6153846153846154,0.6153846153846154,"{'Uttarakhand': 54, 'Tripura': 25, 'Bihar': 21}","{'History': 50, 'Cultural_Common_Sense': 48, 'Religion': 28}"
instruct,18,114,89,59,15,15,66.29213483146067,16.853932584269664,16.853932584269664,0.7640449438202247,0.651685393258427,"{'Chandigarh': 40, 'Telangana': 13, 'Maharashtra': 10}","{'Tourism': 55, 'History': 25, 'Cultural_Common_Sense': 4}"
instruct,18,115,591,177,158,256,29.949238578680205,26.73434856175973,43.31641285956007,0.7258883248730964,0.7140439932318104,"{'Telangana': 147, 'Tripura': 57, 'Tamil_Nadu': 53}","{'History': 307, 'Tourism': 142, 'Cultural_Common_Sense': 66}"
instruct,18,116,51,12,33,6,23.52941176470588,64.70588235294117,11.76470588235294,0.6666666666666666,0.7450980392156863,"{'Tripura': 15, 'Sikkim': 11, 'Manipur': 6}","{'Cultural_Common_Sense': 32, 'History': 11, 'Language': 4}"
instruct,18,117,63,28,14,21,44.44444444444444,22.22222222222222,33.33333333333333,0.8888888888888888,0.7777777777777778,"{'Arunachal_Pradesh': 21, 'Tamil_Nadu': 13, 'Punjab': 7}","{'Language': 60, 'Cultural_Common_Sense': 2, 'History': 1}"
instruct,18,118,207,85,85,37,41.06280193236715,41.06280193236715,17.874396135265698,0.6763285024154589,0.642512077294686,"{'Arunachal_Pradesh': 50, 'Uttarakhand': 24, 'Sikkim': 24}","{'Language': 199, 'Cultural_Common_Sense': 4, 'Transport': 2}"
instruct,18,119,75,21,30,24,28.000000000000004,40.0,32.0,0.56,0.6666666666666666,"{'Telangana': 29, 'Chandigarh': 8, 'Nagaland': 7}",{'Tourism': 75}
instruct,18,120,213,75,56,82,35.2112676056338,26.291079812206576,38.497652582159624,0.7323943661971831,0.6572769953051644,"{'Telangana': 38, 'Sikkim': 34, 'Mizoram': 25}","{'Tourism': 207, 'Cultural_Common_Sense': 3, 'Rituals_and_Ceremonies': 3}"
instruct,18,121,56,9,8,39,16.071428571428573,14.285714285714285,69.64285714285714,0.6964285714285714,0.6607142857142857,"{'Telangana': 48, 'Tripura': 2, 'Dadra_and_Nagar_Haveli_and_Daman_and_Diu': 2}","{'Tourism': 53, 'Cultural_Common_Sense': 1, 'Personalities': 1}"
instruct,18,122,193,68,70,55,35.233160621761655,36.26943005181347,28.497409326424872,0.5906735751295337,0.6113989637305699,"{'Telangana': 35, 'Tripura': 20, 'Mizoram': 15}","{'Tourism': 191, 'Cultural_Common_Sense': 2}"
instruct,18,123,102,37,26,39,36.27450980392157,25.49019607843137,38.23529411764706,0.5784313725490197,0.5588235294117647,"{'Sikkim': 30, 'Meghalaya': 16, 'Telangana': 14}","{'Tourism': 100, 'History': 1, 'Rituals_and_Ceremonies': 1}"
